h,mu,rho,cash,degree,lower,upper,gap,beta,floor
0.05,0.1,0.01,0.3,4096,0.0012520533816345746,0.001274560998504778,2.2507616870203525e-05,0.0003961798618040064,0.0011187420807834136
0.02,0.1,0.01,0.3,512,0.0011192711511748827,0.0013331770642602027,0.00021390591308531994,2.2075592157821287e-05,0.0011187420807834136
0.02,0.1,0.01,0.3,1024,0.0011192711511748827,0.0012264466524332697,0.00010717550125838695,2.2075592157821287e-05,0.0011187420807834136
0.02,0.1,0.01,0.3,2048,0.0011192711511748827,0.0011729176386793931,5.364648750451036e-05,2.2075592157821287e-05,0.0011187420807834136
0.02,0.1,0.01,0.3,4096,0.0011192711511748827,0.0011461445722945347,2.687342111965191e-05,2.2075592157821287e-05,0.0011187420807834136
1.0,0.1,0.05,0.3,512,0.06999999999999999,0.07000000000100001,1.000019511643302e-12,0.06999999999999998,0.005475115548644938
1.0,0.1,0.05,0.3,1024,0.06999999999999999,0.070000000001,1.0000056338554941e-12,0.06999999999999998,0.005475115548644938
1.0,0.1,0.05,0.3,2048,0.06999999999999999,0.07000000000100001,1.000019511643302e-12,0.06999999999999998,0.005475115548644938
1.0,0.1,0.05,0.3,4096,0.06999999999999999,0.070000000001,1.0000056338554941e-12,0.06999999999999998,0.005475115548644938
0.5,0.1,0.05,0.3,512,0.04435000000000001,0.04435000000100002,1.000012572749398e-12,0.044349999999999994,0.005475115548644938
0.5,0.1,0.05,0.3,1024,0.04435000000000001,0.04435000000100002,1.000012572749398e-12,0.044349999999999994,0.005475115548644938
0.5,0.1,0.05,0.3,2048,0.04435000000000001,0.04435000000100002,1.000012572749398e-12,0.044349999999999994,0.005475115548644938
0.5,0.1,0.05,0.3,4096,0.04435000000000001,0.044350000001002414,1.002406491146246e-12,0.044349999999999994,0.005475115548644938
0.2,0.1,0.05,0.3,512,0.014356409762500006,0.01436105476239995,4.644999899943922e-06,0.014230884584980227,0.005475115548644938
0.2,0.1,0.05,0.3,1024,0.014356409762500006,0.014358753220786922,2.343458286915498e-06,0.014230884584980227,0.005475115548644938
0.2,0.1,0.05,0.3,2048,0.014356409762500006,0.01435763168687447,1.221924374463293e-06,0.014230884584980227,0.005475115548644938
0.2,0.1,0.05,0.3,4096,0.014356409762500006,0.014357063879112906,6.541166128991305e-07,0.014230884584980227,0.005475115548644938
0.1,0.1,0.05,0.3,512,0.006609999015586605,0.006704054647274301,9.405563168769608e-05,0.005147908218794467,0.005475115548644938
0.1,0.1,0.05,0.3,1024,0.006609999015586605,0.006656723779219576,4.672476363297082e-05,0.005147908218794467,0.005475115548644938
0.1,0.1,0.05,0.3,2048,0.006609999015586605,0.006633358461682266,2.3359446095660985e-05,0.005147908218794467,0.005475115548644938
0.1,0.1,0.05,0.3,4096,0.006609999015586605,0.0066216043971475454,1.1605381560940431e-05,0.005147908218794467,0.005475115548644938
0.05,0.1,0.05,0.3,512,0.005577653990195171,0.005750944633968736,0.00017329064377356526,0.002506315102899432,0.005475115548644938
0.05,0.1,0.05,0.3,1024,0.005577653990195171,0.005663874720714862,8.622073051969131e-05,0.002506315102899432,0.005475115548644938
0.05,0.1,0.05,0.3,2048,0.005577653990195171,0.005620706779764869,4.305278956969784e-05,0.002506315102899432,0.005475115548644938
0.05,0.1,0.05,0.3,4096,0.005577653990195171,0.005599186246044805,2.1532255849634335e-05,0.002506315102899432,0.005475115548644938
0.02,0.1,0.05,0.3,512,0.0054758135630926874,0.005672113223837247,0.00019629966074455937,0.0011713489622875344,0.005475115548644938
0.02,0.1,0.05,0.3,1024,0.0054758135630926874,0.005574488873816726,9.867531072403884e-05,0.0011713489622875344,0.005475115548644938
0.02,0.1,0.05,0.3,2048,0.0054758135630926874,0.0055251387936081,4.932523051541255e-05,0.0011713489622875344,0.005475115548644938
