mu,rho,h,ratio,cash,cost_upper,cost_lower,optimizer_gap
0.1,0.05,0.02,0.05,0.2414715573771441,0.01989727496349713,0.01963707352103255,0.00026020144246458043
0.1,0.05,1.0,0.2,0.0,0.10000000000100001,0.1,1.0000056338554941e-12
0.1,0.05,0.5,0.2,0.0,0.10000000000100001,0.10000000000000006,9.999501227042629e-13
0.1,0.05,0.2,0.2,0.2,0.06512968202843515,0.06509102148750001,3.866054093513982e-05
0.1,0.05,0.1,0.2,0.2,0.05617568990198738,0.056136454966397915,3.923493558946611e-05
0.1,0.05,0.05,0.2,0.15879608131171158,0.05099822317413722,0.050896342043932695,0.00010188113020452583
0.1,0.05,0.02,0.2,0.1567671722709456,0.04776502549069298,0.04745588367953264,0.0003091418111603392
0.1,0.05,1.0,0.5,0.0,0.10000000000100001,0.1,1.0000056338554941e-12
0.1,0.05,0.5,0.5,0.0,0.10000000000100001,0.10000000000000003,9.999778782798785e-13
0.1,0.05,0.2,0.5,0.0,0.10000000000100007,0.10000000000000003,1.0000333894311098e-12
0.1,0.05,0.1,0.5,0.1,0.0955656073867083,0.09543218358647494,0.0001334238002333593
0.1,0.05,0.05,0.5,0.1,0.08930490262374002,0.08913773032253088,0.00016717230120914806
0.1,0.05,0.02,0.5,0.1,0.08505599994896237,0.0847149055422031,0.00034109440675927916
0.1,0.2,1.0,0.05,1.0,0.050000000001,0.05,9.999986949615902e-13
0.1,0.2,0.5,0.05,0.5,0.039000000001000006,0.039,1.0000056338554941e-12
0.1,0.2,0.2,0.05,0.4,0.03529341320947922,0.03524321451136641,5.019869811281191e-05
0.1,0.2,0.1,0.05,0.39346868392681456,0.03447457000222598,0.03437964227929109,9.492772293488716e-05
0.1,0.2,0.05,0.05,0.378716866711034,0.03435734005915697,0.03424541529567583,0.00011192476348113878
0.1,0.2,0.02,0.05,0.37793104934078026,0.03435366463083178,0.03424025136174455,0.00011341326908723137
0.1,0.2,1.0,0.2,0.0,0.10000000000100001,0.1,1.0000056338554941e-12
0.1,0.2,0.5,0.2,0.0,0.10000000000100001,0.10000000000000003,9.999778782798785e-13
0.1,0.2,0.2,0.2,0.2,0.0824418500777261,0.08239226880000003,4.958127772607124e-05
0.1,0.2,0.1,0.2,0.2,0.07662971408389237,0.07655450642110519,7.520766278718005e-05
0.1,0.2,0.05,0.2,0.2,0.07435716150943675,0.07420782771158704,0.00014933379784970446
0.1,0.2,0.02,0.2,0.20077598759646575,0.07388627702766763,0.07368570113442043,0.00020057589324720682
0.1,0.2,1.0,0.5,0.0,0.10000000000100001,0.1,1.0000056338554941e-12
0.1,0.2,0.5,0.5,0.0,0.10000000000100001,0.10000000000000003,9.999778782798785e-13
