mu,rho,h,cash,lower,upper,gap,beta,floor,moment_residual
0.05,0.2,0.2,0.2,0.018898022400000002,0.01892211378672226,2.4091386722258773e-05,0.017000228571428577,0.014442719099991591,1.734723475976807e-18
0.05,0.2,0.2,0.3,0.011687577600000004,0.011692758968480552,5.181368480548093e-06,0.011205485714285719,0.00916407864998739,1.734723475976807e-18
0.05,0.2,0.1,0.1,0.030506018527570837,0.030563395801679844,5.737727410900714e-05,0.02605920071680005,0.029166666666666667,1.734723475976807e-18
0.05,0.2,0.1,0.2,0.015558433824769447,0.015603608990158727,4.5175165389280125e-05,0.014002651545600023,0.014442719099991591,6.938893903907228e-18
0.05,0.2,0.1,0.3,0.009295302067953705,0.009352008128951147,5.670606099744159e-05,0.0073846575104000115,0.00916407864998739,0.0
0.05,0.2,0.05,0.1,0.029524684037219816,0.029611272236354003,8.658819913418686e-05,0.024004710982169004,0.029166666666666667,1.734723475976807e-18
0.05,0.2,0.05,0.2,0.014611191635412961,0.014695415350692652,8.422371527969097e-05,0.012200032094592268,0.014442719099991591,6.938893903907228e-18
0.05,0.2,0.05,0.3,0.009173161552976929,0.009240728263836151,6.756671085922199e-05,0.00606932557502317,0.00916407864998739,0.0
0.05,0.2,0.02,0.1,0.029184783981313408,0.029305628392924568,0.00012084441161116025,0.022516354552334056,0.029166666666666667,6.938893903907228e-18
0.05,0.2,0.02,0.2,0.014447494111118401,0.014548233360461108,0.00010073924934270694,0.011006062630534106,0.014442719099991591,2.0816681711721685e-17
0.05,0.2,0.02,0.3,0.009163906689356825,0.009232800352561993,6.889366320516829e-05,0.005245260946393045,0.00916407864998739,6.938893903907228e-18
0.05,1.0,1.0,0.1,0.045000000000000005,0.045000000000000005,0.0,0.045000000000000005,0.045,0.0
0.05,1.0,1.0,0.2,0.04000000000000001,0.04000000000000001,0.0,0.04000000000000001,0.04,0.0
0.05,1.0,1.0,0.3,0.034999999999999996,0.034999999999999996,0.0,0.034999999999999996,0.035,0.0
0.05,1.0,0.5,0.1,0.045000000000000005,0.045000000000000005,0.0,0.045000000000000005,0.045,0.0
0.05,1.0,0.5,0.2,0.04000000000000001,0.04000000000000001,0.0,0.04000000000000001,0.04,0.0
0.05,1.0,0.5,0.3,0.034999999999999996,0.034999999999999996,0.0,0.034999999999999996,0.035,0.0
0.05,1.0,0.2,0.1,0.045000000000000005,0.045000000000000005,0.0,0.045000000000000005,0.045,0.0
0.05,1.0,0.2,0.2,0.04000000000000001,0.04000000000000001,0.0,0.04000000000000001,0.04,0.0
0.05,1.0,0.2,0.3,0.034999999999999996,0.034999999999999996,0.0,0.034999999999999996,0.035,0.0
0.05,1.0,0.1,0.1,0.045000000000000005,0.045000000000000005,0.0,0.045000000000000005,0.045,0.0
0.05,1.0,0.1,0.2,0.04000000000000001,0.04000000000000001,0.0,0.04000000000000001,0.04,0.0
0.05,1.0,0.1,0.3,0.034999999999999996,0.034999999999999996,0.0,0.034999999999999996,0.035,0.0
0.05,1.0,0.05,0.1,0.045000000000000005,0.045000000000000005,0.0,0.045000000000000005,0.045,0.0
0.05,1.0,0.05,0.2,0.04000000000000001,0.04000000000000001,0.0,0.04000000000000001,0.04,0.0
0.05,1.0,0.05,0.3,0.034999999999999996,0.034999999999999996,0.0,0.034999999999999996,0.035,0.0
0.05,1.0,0.02,0.1,0.045000000000000005,0.045000000000000005,0.0,0.045000000000000005,0.045,0.0
