DEPINS,BKCLASS,SCMTGBK,REPDTE,DEPDOM,ASSET,DEP,NAME,SC,DEPUNINS,SCUST,CHBAL,CERT,LNLSNET,BRO,ID,INSFDIC,INSDIF,cash_ratio,treasury_ratio,size_bin
44816,NM,8694.0,20241231,54647,64205,54647,FIRST SECURITY BANK,16506,9972,249,1431,251,40063,0.0,251_20241231,1,1,0.02618624993137775,0.03074276721503468,<1bn
158019,SM,22059.0,20241231,246372,291448,246372,PINNACLE BANK,54155,88949,0,9276,252,205409,47095.0,252_20241231,1,1,0.03765038234864351,0.03765038234864351,<1bn
1701793,NM,796.0,20241231,1785330,2087762,1785330,LUANA SAVINGS BANK,331512,91452,0,60120,253,1633268,687557.0,253_20241231,1,1,0.03367444674093865,0.03367444674093865,1-10bn
163179,NM,0.0,20241231,257925,287939,257925,FIRST WHITNEY BANK&TRUST,103753,95332,0,16999,254,160320,0.0,254_20241231,1,1,0.06590675583987593,0.06590675583987593,<1bn
3887355,NM,767449.0,20241231,7168882,8860929,7168882,STOCK YARDS BANK&TRUST CO,1360286,3282241,352057,288509,258,6439745,370.0,258_20241231,1,1,0.04024462949731911,0.08935368164798918,1-10bn
170835,NM,13742.0,20241231,219266,246317,219266,CITIZENS BANK,19299,48701,963,16806,262,196209,0.0,262_20241231,1,1,0.07664663012049291,0.0810385559092609,<1bn
172251,NM,9202.0,20241231,259253,304359,259253,KENTUCKY FARMERS BANK CORP,104195,87231,9814,30690,267,153400,0.0,267_20241231,1,1,0.11837857228267368,0.15623348620845276,<1bn
290500,NM,29336.0,20241231,323003,387042,323003,MORGANTOWN BANK&TRUST CO INC,65898,33458,5886,11058,275,289954,10248.0,275_20241231,1,1,0.03423497614573239,0.05245771711098658,<1bn
114564,NM,11633.0,20241231,134392,144822,134392,HYDEN CITIZENS BANK,49095,20007,0,4662,281,82840,7557.0,281_20241231,1,1,0.0346895648550509,0.0346895648550509,<1bn
98649,NM,11714.0,20241231,120689,139356,120689,AUBURN BANKING CO,16892,22342,0,5590,284,106401,4000.0,284_20241231,1,1,0.04631739429442617,0.04631739429442617,<1bn
1079919,SM,83887.0,20241231,1311569,1449113,1311569,COMMUNITY FINL SERVICES BK,290906,232865,0,88820,287,955784,310881.0,287_20241231,1,1,0.0677204173017203,0.0677204173017203,1-10bn
47192,NM,6874.0,20241231,56878,66104,56878,FARMERS&TRADERS BK CAMPTON,25103,9785,0,1437,288,36600,4500.0,288_20241231,1,1,0.025264601427617005,0.025264601427617005,<1bn
174198,NM,32986.0,20241231,210772,258559,210772,BANK OF HINDMAN,114724,36883,0,9150,289,118062,4226.0,289_20241231,1,1,0.04341183838460517,0.04341183838460517,<1bn
87602,NM,88.0,20241231,114953,173672,114953,JACKSON COUNTY BANK,72850,27458,36487,26060,291,71938,0.0,291_20241231,1,1,0.22670134750724208,0.5441093316398876,<1bn
628784,SM,80.0,20241231,926546,1153231,926546,MONTICELLO BANKING CO,234386,299094,0,22520,292,819486,38492.0,292_20241231,1,1,0.024305323211151957,0.024305323211151957,1-10bn
210189,NM,0.0,20241231,244031,280032,244031,BANK OF EDMONSON COUNTY,64342,34080,0,6899,296,194566,0.0,296_20241231,1,1,0.02827099835676615,0.02827099835676615,<1bn
138470,SM,23021.0,20241231,163456,198223,163456,LEWISBURG BANKING CO,39322,25141,0,12754,297,135334,0.0,297_20241231,1,1,0.07802711433046201,0.07802711433046201,<1bn
277675,NM,2305.0,20241231,367432,424425,367432,UNITED CUMBERLAND BANK,75539,90410,0,29558,303,300633,5000.0,303_20241231,1,1,0.08044481700015241,0.08044481700015241,<1bn
44776,NM,3301.0,20241231,57999,68949,57999,CLINTON BANK,19455,13354,949,2226,304,41532,4626.0,304_20241231,1,1,0.03837997206848394,0.054742323143502476,<1bn
254706,NM,38007.0,20241231,358138,394087,358138,BANK OF ZACHARY,107101,104196,472,7633,306,254165,0.0,306_20241231,1,1,0.02131301341940816,0.022630941145591922,<1bn
140620,NM,10914.0,20241231,197253,215672,197253,LANDMARK BANK,39601,57402,14979,11310,307,147796,378.0,307_20241231,1,1,0.05733753098812185,0.13327553953552038,<1bn
40322,NM,8704.0,20241231,45202,49957,45202,MER ROUGE STATE BANK,14073,4950,0,12021,314,22001,0.0,314_20241231,1,1,0.2659395601964515,0.2659395601964515,<1bn
87723,NM,6158.0,20241231,129054,145725,129054,HOLMES COUNTY BANK,54539,41526,1943,8031,321,56196,0.0,321_20241231,1,1,0.06222976428471803,0.0772854773970586,<1bn
343514,NM,39703.0,20241231,408892,469274,408892,CITIZENS BANK,70471,66204,1858,74804,324,299089,0.0,324_20241231,1,1,0.18294317325846435,0.1874871604237794,<1bn
117132,NM,43515.0,20241231,200414,233150,200414,MERCHANTS&PLANTERS BANK,65006,84677,0,62207,327,93701,0.0,327_20241231,1,1,0.3103924875507699,0.3103924875507699,<1bn
333067,NM,72278.0,20241231,720988,831396,720988,PEOPLES BANK BILOXI MS,431804,387999,157023,107744,340,230594,0.0,340_20241231,1,1,0.1494393804057765,0.3672280259865629,<1bn
556471,SM,117095.0,20241231,628691,725698,628691,FARMERS STATE BANK,192261,74229,0,26873,342,461310,0.0,342_20241231,1,1,0.04274436885528821,0.04274436885528821,<1bn
91752,NM,15501.0,20241231,145015,162495,145015,BANK OF BAKER,27120,53403,2926,35098,352,83656,0.0,352_20241231,1,1,0.24203013481363997,0.26220735785953175,<1bn
36619,SM,0.0,20241231,40210,43664,40210,STOCKMENS BANK,6841,3656,3407,19194,358,11221,0.0,358_20241231,1,1,0.4773439442924646,0.5620741109176822,<1bn
